protocol,features,pool_N,held_out,acc,ari_direct,ari_lda,n_test
LODO,choice (NEW),1,ZooDiscardWarlock,0.41555555555555557,0.08878002335427065,0.12002970891199484,4500
LODO,choice (NEW),10,AggroPirateWarrior,0.6777777777777778,0.2923819236509962,0.39421187760071513,450
LODO,choice (NEW),10,MidrangeBuffPaladin,0.6177777777777778,0.36780232721628703,0.3206140083767227,450
LODO,choice (NEW),10,MidrangeJadeShaman,0.45434298440979953,0.5321153364340835,0.5077093307196303,449
LODO,choice (NEW),10,MidrangeSecretHunter,0.6288888888888889,0.3097844988738975,0.3316141773098026,450
LODO,choice (NEW),10,MiraclePirateRogue,0.6044444444444445,0.3828863758866111,0.3780240233898698,450
LODO,choice (NEW),10,MurlocDruid,0.6897321428571429,0.4238186612626489,0.48558084944681607,448
LODO,choice (NEW),10,RenoKazakusDragonPriest,0.5644444444444444,0.29212342130463814,0.3054655212634449,450
LODO,choice (NEW),10,RenoKazakusMage,0.5545657015590201,0.3285980323393809,0.3659154390538833,449
LODO,choice (NEW),10,ZooDiscardWarlock,0.3933333333333333,0.357507234874007,0.27617173147971613,450
LODO,choice+deckz,1,AggroPirateWarrior,0.48133333333333334,0.11330033182002366,0.1707738458233329,4500
LODO,choice+deckz,1,MidrangeBuffPaladin,0.5175555555555555,0.1846464723582899,0.22887970938352276,4500
LODO,choice+deckz,1,MidrangeJadeShaman,0.4329851078017337,0.20161627244610175,0.22037044522616256,4499
LODO,choice+deckz,1,MidrangeSecretHunter,0.47644444444444445,0.18820982567066905,0.17195336466896183,4500
LODO,choice+deckz,1,MiraclePirateRogue,0.4928888888888889,0.11012353857492876,0.21105795581826647,4500
LODO,choice+deckz,1,MurlocDruid,0.5115709835336003,0.11440520575601452,0.15407633594837558,4494
LODO,choice+deckz,1,RenoKazakusDragonPriest,0.48333333333333334,0.18726522586693045,0.19256118886906357,4500
LODO,choice+deckz,1,RenoKazakusMage,0.4069793287397199,0.09601928194115388,0.09738933150657982,4499
LODO,choice+deckz,1,ZooDiscardWarlock,0.4471111111111111,0.08878002335427065,0.15451553814703892,4500
LODO,choice+deckz,10,AggroPirateWarrior,0.6622222222222223,0.2923819236509962,0.37942542881883196,450
LODO,choice+deckz,10,MidrangeBuffPaladin,0.66,0.36780232721628703,0.3759012104474161,450
LODO,choice+deckz,10,MidrangeJadeShaman,0.5657015590200446,0.5321153364340835,0.579301651552283,449
LODO,choice+deckz,10,MidrangeSecretHunter,0.6777777777777778,0.3097844988738975,0.38758840264869576,450
LODO,choice+deckz,10,MiraclePirateRogue,0.6777777777777778,0.3828863758866111,0.4657469478903531,450
LODO,choice+deckz,10,MurlocDruid,0.7366071428571429,0.4238186612626489,0.48423999585140654,448
LODO,choice+deckz,10,RenoKazakusDragonPriest,0.6311111111111111,0.29212342130463814,0.33129376060843624,450
LODO,choice+deckz,10,RenoKazakusMage,0.5812917594654788,0.3285980323393809,0.27576198318628437,449
LODO,choice+deckz,10,ZooDiscardWarlock,0.6022222222222222,0.357507234874007,0.25666401881713385,450
LODO,raw+choice,1,AggroPirateWarrior,0.5073333333333333,0.08357726829326047,0.2277895410761879,4500
LODO,raw+choice,1,MidrangeBuffPaladin,0.5684444444444444,0.12441270181426893,0.29012444675438237,4500
LODO,raw+choice,1,MidrangeJadeShaman,0.40764614358746387,0.13786054903848272,0.24709784063902648,4499
LODO,raw+choice,1,MidrangeSecretHunter,0.45955555555555555,0.1892608362065877,0.18318726631572216,4500
LODO,raw+choice,1,MiraclePirateRogue,0.5482222222222223,0.10190992460217259,0.2504838818364951,4500
LODO,raw+choice,1,MurlocDruid,0.5683133066310636,0.11351630019886799,0.27028403765474446,4494
LODO,raw+choice,1,RenoKazakusDragonPriest,0.5602222222222222,0.16880931500128782,0.24238762674329686,4500
LODO,raw+choice,1,RenoKazakusMage,0.4836630362302734,0.14832290255526126,0.15155013632984962,4499
LODO,raw+choice,1,ZooDiscardWarlock,0.464,0.1377943360843352,0.21024341617767486,4500
LODO,raw+choice,10,AggroPirateWarrior,0.6644444444444444,0.34159117200896394,0.6319022371698664,450
LODO,raw+choice,10,MidrangeBuffPaladin,0.76,0.40150316846507733,0.5654612271338478,450
LODO,raw+choice,10,MidrangeJadeShaman,0.3429844097995546,0.622969550563379,0.7710042624729596,449
LODO,raw+choice,10,MidrangeSecretHunter,0.45555555555555555,0.3903426391860457,0.5701899836641617,450
LODO,raw+choice,10,MiraclePirateRogue,0.6533333333333333,0.4987952669867838,0.5676148154823906,450
LODO,raw+choice,10,MurlocDruid,0.7879464285714286,0.52379069902218,0.6444478119415163,448
LODO,raw+choice,10,RenoKazakusDragonPriest,0.6977777777777778,0.41223981042099295,0.5677101964541609,450
LODO,raw+choice,10,RenoKazakusMage,0.576837416481069,0.40857331666242147,0.42415748084424326,449
LODO,raw+choice,10,ZooDiscardWarlock,0.44222222222222224,0.480121409068695,0.6176000272689691,450
LODO,raw+choice+deckz,1,AggroPirateWarrior,0.5268888888888889,0.08357726829326047,0.2186873571587588,4500
LODO,raw+choice+deckz,1,MidrangeBuffPaladin,0.5744444444444444,0.12441270181426893,0.27523863913085567,4500
LODO,raw+choice+deckz,1,MidrangeJadeShaman,0.5330073349633252,0.13786054903848272,0.24039347548059695,4499
LODO,raw+choice+deckz,1,MidrangeSecretHunter,0.49866666666666665,0.1892608362065877,0.18854025517166956,4500
LODO,raw+choice+deckz,1,MiraclePirateRogue,0.5486666666666666,0.10190992460217259,0.2374046810040158,4500
LODO,raw+choice+deckz,1,MurlocDruid,0.5901201602136181,0.11351630019886799,0.27604914527206864,4494
LODO,raw+choice+deckz,1,RenoKazakusDragonPriest,0.5575555555555556,0.16880931500128782,0.24342056675419724,4500
LODO,raw+choice+deckz,1,RenoKazakusMage,0.47655034452100464,0.14832290255526126,0.16530742320540376,4499
LODO,raw+choice+deckz,1,ZooDiscardWarlock,0.5375555555555556,0.1377943360843352,0.21786208959993605,4500
LODO,raw+choice+deckz,10,AggroPirateWarrior,0.8555555555555555,0.34159117200896394,0.7045910026490909,450
LODO,raw+choice+deckz,10,MidrangeBuffPaladin,0.8355555555555556,0.40150316846507733,0.6943868176608774,450
LODO,raw+choice+deckz,10,MidrangeJadeShaman,0.8619153674832962,0.622969550563379,0.821890227761649,449
LODO,raw+choice+deckz,10,MidrangeSecretHunter,0.7977777777777778,0.3903426391860457,0.6150900634679456,450
LODO,raw+choice+deckz,10,MiraclePirateRogue,0.8466666666666667,0.4987952669867838,0.610879505914651,450
LODO,raw+choice+deckz,10,MurlocDruid,0.8392857142857143,0.52379069902218,0.7070360998029109,448
LODO,raw+choice+deckz,10,RenoKazakusDragonPriest,0.8288888888888889,0.41223981042099295,0.6239825060293844,450
LODO,raw+choice+deckz,10,RenoKazakusMage,0.7082405345211581,0.40857331666242147,0.48659427058655935,449
LODO,raw+choice+deckz,10,ZooDiscardWarlock,0.8088888888888889,0.480121409068695,0.6231053251269774,450
