stage,pool,feature_set,N,retrieval,top1,top5,mrr,chance,n_units,seed
baseline,all-users,rhythm,50,full-pool,0.1890243902439024,0.4207317073170731,0.3036188551629617,0.0060975609756097,164,
baseline,all-users,rhythm,50,matched-C10,0.5705642583146529,0.9540901834092794,,0.1,164,
baseline,all-users,role,50,full-pool,0.3475609756097561,0.676829268292683,0.4982645439563118,0.0060975609756097,164,
baseline,all-users,role,50,matched-C10,0.7733617397433146,0.978883328333557,,0.1,164,
baseline,all-users,both,50,full-pool,0.4024390243902439,0.7134146341463414,0.5434915053142049,0.0060975609756097,164,
baseline,all-users,both,50,matched-C10,0.7946198923745142,0.9834300920250426,,0.1,164,
baseline,within-class,cardseq,1,full-pool,0.0166889185580774,0.0560747663551401,0.0559895391511906,0.0060080106809078,1498,
baseline,within-class,cardseq,1,matched-C10,0.1598237106915789,0.610942015975199,,0.1,1498,
baseline,within-class,rhythm,1,full-pool,0.0153538050734312,0.0520694259012016,0.0512727825073577,0.0060080106809078,1498,
baseline,within-class,rhythm,1,matched-C10,0.1433821219710736,0.5868526286157396,,0.1,1498,
baseline,within-class,role,1,full-pool,0.0387182910547396,0.1134846461949265,0.0923098478385692,0.0060080106809078,1498,
baseline,within-class,role,1,matched-C10,0.2347943783075739,0.683353946928363,,0.1,1498,
baseline,within-class,both,1,full-pool,0.0307076101468624,0.0981308411214953,0.0781530372503541,0.0060080106809078,1498,
baseline,within-class,both,1,matched-C10,0.2025787904873284,0.6588777776073077,,0.1,1498,
baseline,within-class,cardseq,3,full-pool,0.0369565217391304,0.1333333333333333,0.1007599373594982,0.0065217391304347,1380,
baseline,within-class,cardseq,3,matched-C10,0.2516853545549991,0.7192987887125226,,0.1,1380,
baseline,within-class,rhythm,3,full-pool,0.031159420289855,0.0956521739130434,0.0828277094676231,0.0065217391304347,1380,
baseline,within-class,rhythm,3,matched-C10,0.2089937821611999,0.6807527091118076,,0.1,1380,
baseline,within-class,role,3,full-pool,0.0688405797101449,0.1920289855072463,0.1466371001891402,0.0065217391304347,1380,
baseline,within-class,role,3,matched-C10,0.3383008059809242,0.7975284039811966,,0.1,1380,
baseline,within-class,both,3,full-pool,0.0659420289855072,0.1992753623188405,0.1438660960872252,0.0065217391304347,1380,
baseline,within-class,both,3,matched-C10,0.3249629168997109,0.7791044990676451,,0.1,1380,
baseline,within-class,cardseq,5,full-pool,0.0557707203718048,0.1665375677769171,0.12780534625097,0.0069713400464755,1291,
baseline,within-class,cardseq,5,matched-C10,0.3030506029190508,0.794192918593935,,0.1,1291,
baseline,within-class,rhythm,5,full-pool,0.034856700232378,0.1309062742060418,0.097627270597371,0.0069713400464755,1291,
baseline,within-class,rhythm,5,matched-C10,0.2449463343762742,0.7502377328305396,,0.1,1291,
baseline,within-class,role,5,full-pool,0.1022463206816421,0.278853601859024,0.2003744832253037,0.0069713400464755,1291,
baseline,within-class,role,5,matched-C10,0.4202620239149705,0.8722290458924091,,0.1,1291,
baseline,within-class,both,5,full-pool,0.0945003872966692,0.2695584817970565,0.1904469815643705,0.0069713400464755,1291,
baseline,within-class,both,5,matched-C10,0.4039987433001161,0.8570217444347605,,0.1,1291,
baseline,within-class,cardseq,10,full-pool,0.1176983435047951,0.2885789014821273,0.2173409332629996,0.007846556233653,1147,
baseline,within-class,cardseq,10,matched-C10,0.416743413474065,0.8527060976268247,,0.1,1147,
baseline,within-class,rhythm,10,full-pool,0.079337401918047,0.2345248474280732,0.1703237200449562,0.007846556233653,1147,
